,Accession,Egg Description,Egg Name,Gene Size,Gene Start,Strand,Egg GOs,Egg EC,KEGG KO,KEGG Pathway,KEGG Module,KEGG Reaction,KEGG Reaction Class,Egg BRITE,KEGG TC,CAZy,BiGG Reaction,PFAMs
"2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial",3197,COG0500 SAM-dependent methyltransferases,-,614,3305133,-,-,-,-,-,-,-,-,-,-,-,-,"Methyltransf_11,Methyltransf_23"
Primosomal replication protein N,3205,Binds single-stranded DNA at the primosome assembly site (PAS),priB,353,3310973,+,-,-,ko:K02686,"ko03440,map03440",-,-,-,"ko00000,ko00001,ko03400",-,-,-,SSB
hypothetical protein_191,3207,membrane,-,881,3311600,+,-,-,-,-,-,-,-,-,-,-,-,DUF2232
Trigger factor,3217,Involved in protein export. Acts as a chaperone by maintaining the newly synthesized protein in an open conformation. Functions as a peptidyl-prolyl cis-trans isomerase,tig,1361,3317804,+,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",-,ko:K03545,-,-,-,-,ko00000,-,-,-,"FKBP_C,Trigger_C,Trigger_N"
Peptidyl-prolyl cis-trans isomerase D,3224,peptidylprolyl isomerase,-,1937,3324929,+,-,5.2.1.8,ko:K03770,-,-,-,-,"ko00000,ko01000,ko03110",-,-,-,"Rotamase,Rotamase_2,SurA_N_3"
hypothetical protein_606,3227,"Cytochrome C oxidase, cbb3-type, subunit III",-,878,3329911,+,-,-,ko:K02305,"ko00910,ko01120,map00910,map01120",M00529,R00294,RC02794,"ko00000,ko00001,ko00002",3.D.4.10,-,-,Cytochrom_C
Respiratory nitrate reductase 1 alpha chain,3228,Belongs to the prokaryotic molybdopterin-containing oxidoreductase family,-,3656,3330859,+,-,1.7.5.1,ko:K00370,"ko00910,ko01120,ko02020,map00910,map01120,map02020","M00529,M00530,M00804","R00798,R01106,R09497",RC02812,"ko00000,ko00001,ko00002,ko01000",5.A.3.1,-,-,"Molybdopterin,Molydop_binding,Nitr_red_alph_N"
Respiratory nitrate reductase 1 beta chain,3229,4Fe-4S dicluster domain,-,1538,3334596,+,-,-,-,-,-,-,-,-,-,-,-,Fer4_11
hypothetical protein_163,3230,nitrate reductase molybdenum cofactor assembly chaperone,-,794,3336136,+,-,-,ko:K00373,"ko02020,map02020",-,-,-,"ko00000,ko00001",-,-,-,Nitrate_red_del
Nitrate reductase-like protein NarX,3231,"nitrate reductase, gamma subunit",narI,689,3336943,+,"GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006091,GO:0008150,GO:0008152,GO:0008940,GO:0009055,GO:0009061,GO:0009325,GO:0009987,GO:0015980,GO:0016020,GO:0016021,GO:0016491,GO:0016661,GO:0019645,GO:0020037,GO:0022900,GO:0022904,GO:0031224,GO:0031226,GO:0032991,GO:0044237,GO:0044425,GO:0044459,GO:0044464,GO:0044799,GO:0045333,GO:0046906,GO:0048037,GO:0055114,GO:0070469,GO:0070470,GO:0071944,GO:0097159,GO:0098796,GO:0098797,GO:0098803,GO:1901363,GO:1902494,GO:1990204",1.7.5.1,ko:K00374,"ko00910,ko01120,ko02020,map00910,map01120,map02020","M00529,M00530","R00798,R01106,R09497",RC02812,"ko00000,ko00001,ko00002,ko01000",5.A.3.1,-,"iEC042_1314.EC042_1594,iECABU_c1320.ECABU_c17020,iECUMN_1333.ECUMN_1718,iSF_1195.SF1230,ic_1306.c1897",Nitrate_red_gam
DNA polymerase III subunit epsilon,3232,"DNA polymerase III is a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria. The epsilon subunit contain the editing function and is a proofreading 3'-5' exonuclease",-,584,3337962,+,-,-,-,-,-,-,-,-,-,-,-,RNase_T
hypothetical protein_162,3233,PFAM Alpha beta hydrolase,-,1019,3338779,-,-,-,ko:K07019,-,-,-,-,ko00000,-,-,-,"Abhydrolase_1,Hydrolase_4"
15-cis-phytoene synthase,3251,Squalene phytoene synthase,-,854,3359023,-,-,"2.5.1.32,2.5.1.99",ko:K02291,"ko00906,ko01062,ko01100,ko01110,map00906,map01062,map01100,map01110",M00097,"R02065,R04218,R07270,R10177","RC00362,RC01101,RC02869","ko00000,ko00001,ko00002,ko01000,ko01006",-,-,-,SQS_PSY
N-acetylmuramic acid 6-phosphate phosphatase,3252,"HAD-superfamily hydrolase, subfamily IA, variant 1",-,740,3360020,-,-,3.1.3.105,ko:K22292,"ko00520,map00520",-,R11785,RC00017,"ko00000,ko00001,ko01000",-,-,-,HAD_2
Lipopolysaccharide assembly protein A,3268,Lipopolysaccharide assembly protein A domain,lapA,296,3378305,+,-,-,ko:K08992,-,-,-,-,ko00000,-,-,-,LapA_dom
hypothetical protein_593,3270,photosystem II stabilization,ybaV,260,3379631,+,"GO:0005575,GO:0005623,GO:0030288,GO:0030313,GO:0031975,GO:0042597,GO:0044464",3.1.26.11,"ko:K00784,ko:K02237","ko03013,map03013",M00429,-,-,"ko00000,ko00001,ko00002,ko01000,ko02044,ko03016","3.A.11.1,3.A.11.2",-,-,HHH_3
hypothetical protein_243,3272,EF-hand domain pair,-,323,3381442,+,-,-,-,-,-,-,-,-,-,-,-,EF-hand_5
hypothetical protein_592,3273,gag-polyprotein putative aspartyl protease,-,497,3381825,-,-,-,-,-,-,-,-,-,-,-,-,gag-asp_proteas
hypothetical protein_591,3274,-,-,230,3383109,+,-,-,-,-,-,-,-,-,-,-,-,-
Superoxide dismutase [Cu-Zn] 1,3275,Copper/zinc superoxide dismutase (SODC),-,524,3383563,-,-,1.15.1.1,ko:K04565,"ko04146,ko04213,ko05014,ko05016,ko05020,map04146,map04213,map05014,map05016,map05020",-,-,-,"ko00000,ko00001,ko01000",-,-,-,Sod_Cu
GTPase Der,3295,GTP-binding protein,-,1529,3400945,-,-,-,-,-,-,-,-,-,-,-,-,"DUF3482,MMR_HSR1"
hypothetical protein_92,3296,Protein of unknown function (DUF2868),-,1550,3402474,-,-,-,-,-,-,-,-,-,-,-,-,DUF2868
hypothetical protein_387,3299,Transposase and inactivated derivatives,-,344,3405406,-,-,-,-,-,-,-,-,-,-,-,-,-
Antitoxin VapB33,3303,-,-,278,3408154,+,"GO:0008150,GO:0040008,GO:0045927,GO:0048518,GO:0050789,GO:0065007",-,-,-,-,-,-,-,-,-,-,-
Ribonuclease VapC33,3304,PIN domain,-,434,3408429,+,-,-,-,-,-,-,-,-,-,-,-,PIN
hypothetical protein_646,3305,-,-,131,3408934,-,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_385,3306,"PFAM glycoside hydrolase, family 77",-,5135,3409150,-,-,2.4.1.25,ko:K00705,"ko00500,ko01100,map00500,map01100",-,R05196,RC00049,"ko00000,ko00001,ko01000",-,GH77,-,Glyco_hydro_77
Trans-aconitate 2-methyltransferase_386,3312,methyltransferase,-,632,3426039,+,-,-,-,-,-,-,-,-,-,-,-,"Methyltransf_11,Methyltransf_23,Methyltransf_25,Methyltransf_31"
ATP-dependent dethiobiotin synthetase BioD,3313,"Catalyzes a mechanistically unusual reaction, the ATP- dependent insertion of CO2 between the N7 and N8 nitrogen atoms of 7,8-diaminopelargonic acid (DAPA) to form an ureido ring",bioD,650,3426960,+,"GO:0003674,GO:0003824,GO:0004141,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006732,GO:0006766,GO:0006767,GO:0006768,GO:0006790,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009102,GO:0009108,GO:0009110,GO:0009987,GO:0016053,GO:0016874,GO:0016879,GO:0016882,GO:0017144,GO:0018130,GO:0019752,GO:0032787,GO:0034641,GO:0042364,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044249,GO:0044271,GO:0044272,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046483,GO:0051186,GO:0051188,GO:0071704,GO:0072330,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576",6.3.3.3,ko:K01935,"ko00780,ko01100,map00780,map01100","M00123,M00573,M00577",R03182,RC00868,"ko00000,ko00001,ko00002,ko01000",-,-,-,AAA_26
Adenosylmethionine-8-amino-7-oxononanoate aminotransferase,3314,"Catalyzes the transfer of the alpha-amino group from S- adenosyl-L-methionine (SAM) to 7-keto-8-aminopelargonic acid (KAPA) to form 7,8-diaminopelargonic acid (DAPA). It is the only animotransferase known to utilize SAM as an amino donor",bioA,1298,3427631,+,-,2.6.1.62,ko:K00833,"ko00780,ko01100,map00780,map01100","M00123,M00573,M00577",R03231,"RC00006,RC00887","ko00000,ko00001,ko00002,ko01000,ko01007",-,-,-,Aminotran_3
Cardiolipin synthase,3321,Catalyzes the reversible phosphatidyl group transfer from one phosphatidylglycerol molecule to another to form cardiolipin (CL) (diphosphatidylglycerol) and glycerol,-,1385,3433387,-,-,-,-,-,-,-,-,-,-,-,-,PLDc_2
hypothetical protein_202,3322,Putative restriction endonuclease,-,752,3434736,-,-,-,-,-,-,-,-,-,-,-,-,Uma2
Phenylacetaldehyde dehydrogenase,3323,belongs to the aldehyde dehydrogenase family,-,1520,3435645,-,-,"1.2.1.28,1.2.1.3","ko:K00128,ko:K00141","ko00010,ko00053,ko00071,ko00280,ko00310,ko00330,ko00340,ko00380,ko00410,ko00561,ko00620,ko00622,ko00623,ko00625,ko00627,ko00903,ko00981,ko01100,ko01110,ko01120,ko01130,ko01220,map00010,map00053,map00071,map00280,map00310,map00330,map00340,map00380,map00410,map00561,map00620,map00622,map00623,map00625,map00627,map00903,map00981,map01100,map01110,map01120,map01130,map01220","M00135,M00537,M00538","R00264,R00631,R00710,R00904,R01293,R01419,R01752,R01986,R02549,R02678,R02940,R02957,R03283,R03869,R04065,R04506,R04903,R05050,R05237,R05238,R05286,R05289,R05663,R05664,R06366,R07667,R08146","RC00047,RC00071,RC00075,RC00080,RC00186,RC00218,RC00242,RC00816,RC01500","ko00000,ko00001,ko00002,ko01000",-,-,-,Aldedh
Cation efflux system protein CusA,3327,Belongs to the resistance-nodulation-cell division (RND) (TC 2.A.6) family,-,3236,3440776,+,-,-,ko:K07787,"ko02020,map02020",-,-,-,"ko00000,ko00001,ko02000",2.A.6.1.4,-,-,ACR_tran
hypothetical protein_602,3329,Nucleotidyltransferase domain,-,398,3444771,+,-,-,-,-,-,-,-,-,-,-,-,NTP_transf_2
hypothetical protein_500,3345,Protein of unknown function (DUF3179),-,1052,3457973,-,-,-,-,-,-,-,-,-,-,-,-,DUF3179
hypothetical protein_235,3346,Cytochrome P460,-,542,3459450,+,-,-,-,-,-,-,-,-,-,-,-,Cytochrome_P460
Arsenite methyltransferase,3347,Pfam:Methyltransf_26,-,1055,3460086,-,-,2.1.1.137,ko:K07755,-,-,-,-,"ko00000,ko01000",-,-,-,Methyltransf_31
Response regulator protein TodT,3348,response regulator receiver,-,653,3461280,-,-,-,ko:K13041,"ko02020,map02020",M00514,-,-,"ko00000,ko00001,ko00002,ko02022",-,-,-,"GerE,Response_reg"
Adaptive-response sensory-kinase SasA_501,3349,Histidine kinase,-,2024,3461940,-,-,2.7.13.3,"ko:K02482,ko:K14986","ko02020,map02020",M00524,-,-,"ko00000,ko00001,ko00002,ko01000,ko01001,ko02022",-,-,-,"HATPase_c,HisKA,MASE1,PAS_4,PAS_9,Response_reg"
hypothetical protein_150,3350,"Extracellular solute-binding protein, family 5",-,2177,3464158,+,-,-,-,-,-,-,-,-,-,-,-,SBP_bac_5
Dipeptide transport system permease protein DppB,3351,PFAM binding-protein-dependent transport systems inner membrane component,-,977,3466332,+,-,-,ko:K02033,"ko02024,map02024",M00239,-,-,"ko00000,ko00001,ko00002,ko02000",3.A.1.5,-,-,BPD_transp_1
hypothetical protein_502,3352,PFAM binding-protein-dependent transport systems inner membrane component,-,1388,3467420,+,-,-,ko:K02034,"ko02024,map02024",M00239,-,-,"ko00000,ko00001,ko00002,ko02000",3.A.1.5,-,-,BPD_transp_1
putative ABC transporter ATP-binding protein_503,3353,Belongs to the ABC transporter superfamily,-,2090,3468805,+,-,-,"ko:K02031,ko:K02032","ko02024,map02024",M00239,-,-,"ko00000,ko00001,ko00002,ko02000",3.A.1.5,-,-,"ABC_tran,oligo_HPY"
hypothetical protein_613,3355,Antitoxin component of a toxin-antitoxin (TA) module,-,287,3472723,+,-,-,-,-,-,-,-,-,-,-,-,PhdYeFM_antitox
hypothetical protein_614,3356,PIN domain,-,416,3473050,+,-,-,-,-,-,-,-,-,-,-,-,PIN
hypothetical protein_379,3369,-,-,293,3481030,+,-,-,-,-,-,-,-,-,-,-,-,-
"N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol 4-epimerase",3391,epimerase dehydratase,-,956,3503298,+,-,-,-,-,-,-,-,-,-,-,-,Epimerase
Insertion sequence IS5376 putative ATP-binding protein,3399,IstB-like ATP binding protein,-,164,3508770,+,-,-,-,-,-,-,-,-,-,-,-,IstB_IS21
hypothetical protein_392,3400,Las17-binding protein actin regulator,CT2216,584,3508916,-,-,-,-,-,-,-,-,-,-,-,-,Ysc84
hypothetical protein_391,3402,Glyoxalase bleomycin resistance protein dioxygenase,-,407,3511218,-,-,-,-,-,-,-,-,-,-,-,-,Glyoxalase
hypothetical protein_389,3406,Bacterial protein of unknown function (DUF853),-,1457,3514086,+,-,-,ko:K06915,-,-,-,-,ko00000,-,-,-,DUF853
hypothetical protein_388,3410,Domain of Unknown Function (DUF1259),-,116,3519764,-,-,-,-,-,-,-,-,-,-,-,-,DUF1529
Acetylpolyamine amidohydrolase 2,3412,Including yeast histone deacetylase and acetoin utilization protein,-,1001,3520150,+,-,-,-,-,-,-,-,-,-,-,-,"Acetyltransf_1,Hist_deacetyl"
ComE operon protein 3,3417,DNA internalization-related competence protein ComEC Rec2,-,2270,3524325,+,-,-,ko:K02238,-,M00429,-,-,"ko00000,ko00002,ko02044","3.A.11.1,3.A.11.2",-,-,"Competence,DUF4131,Lactamase_B"
Tetraacyldisaccharide 4'-kinase,3421,"Transfers the gamma-phosphate of ATP to the 4'-position of a tetraacyldisaccharide 1-phosphate intermediate (termed DS-1- P) to form tetraacyldisaccharide 1,4'-bis-phosphate (lipid IVA)",lpxK,995,3529537,+,-,2.7.1.130,ko:K00912,"ko00540,ko01100,map00540,map01100",M00060,R04657,"RC00002,RC00078","ko00000,ko00001,ko00002,ko01000,ko01005",-,-,-,LpxK
Ribosomal large subunit pseudouridine synthase C,3425,Responsible for synthesis of pseudouridine from uracil,-,959,3535226,+,-,5.4.99.24,ko:K06179,-,-,-,-,"ko00000,ko01000,ko03009",-,-,-,"PseudoU_synth_2,S4"
7-methyl-GTP pyrophosphatase,3426,Maf-like protein,-,575,3536267,-,-,-,ko:K06287,-,-,-,-,ko00000,-,-,-,Maf
Large ribosomal RNA subunit accumulation protein YceD,3428,"metal-binding, possibly nucleic acid-binding protein",yceD,530,3537091,+,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0008150,GO:0040007,GO:0044424,GO:0044444,GO:0044464",-,ko:K07040,-,-,-,-,ko00000,-,-,-,DUF177
DNA polymerase III subunit delta',3438,"DNA polymerase III, delta'",-,1073,3545570,+,-,2.7.7.7,ko:K02341,"ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440",M00260,"R00375,R00376,R00377,R00378",RC02795,"ko00000,ko00001,ko00002,ko01000,ko03032,ko03400",-,-,-,"DNA_pol3_delta2,DNApol3-delta_C"
Cytochrome c oxidase subunit 3,3442,Cytochrome c oxidase subunit III,-,596,3550084,+,-,-,-,-,-,-,-,-,-,-,-,COX3
hypothetical protein_519,3443,Prokaryotic Cytochrome C oxidase subunit IV,-,257,3550683,+,-,-,-,-,-,-,-,-,-,-,-,COX4_pro
hypothetical protein_520,3444,FtsX-like permease family,-,1325,3550959,-,-,-,ko:K02004,-,M00258,-,-,"ko00000,ko00002,ko02000",3.A.1,-,-,"FtsX,MacB_PCD"
hypothetical protein_155,3445,MacB-like periplasmic core domain,-,1157,3552291,-,-,-,ko:K02004,-,M00258,-,-,"ko00000,ko00002,ko02000",3.A.1,-,-,"FtsX,MacB_PCD"
putative ABC transporter ATP-binding protein YknY,3446,pfam abc,-,740,3553468,-,-,-,ko:K02003,-,M00258,-,-,"ko00000,ko00002,ko02000",3.A.1,-,-,ABC_tran
Multidrug resistance protein MdtA,3447,Belongs to the membrane fusion protein (MFP) (TC 8.A.1) family,-,1235,3554171,-,-,-,-,-,-,-,-,-,-,-,-,HlyD_D23
hypothetical protein_156,3448,glutamine amidotransferase,-,704,3555572,-,-,6.3.5.2,ko:K01951,"ko00230,ko00983,ko01100,map00230,map00983,map01100",M00050,"R01230,R01231,R08244","RC00010,RC00204","ko00000,ko00001,ko00002,ko01000,ko01002",-,-,-,GATase
Release factor glutamine methyltransferase,3458,Methylates the class 1 translation termination release factors RF1 PrfA and RF2 PrfB on the glutamine residue of the universally conserved GGQ motif,prmC,851,3567002,-,-,2.1.1.297,ko:K02493,-,-,R10806,"RC00003,RC03279","ko00000,ko01000,ko03012",-,-,-,"MTS,Methyltransf_31"
ATP-dependent Clp protease ATP-binding subunit ClpX,3460,ATP-dependent specificity component of the Clp protease. It directs the protease to specific substrates. Can perform chaperone functions in the absence of ClpP,-,1259,3568280,+,-,-,ko:K03544,"ko04112,map04112",-,-,-,"ko00000,ko00001,ko03110",-,-,-,"AAA_2,ClpB_D2-small,zf-C4_ClpX"
Beta-barrel assembly-enhancing protease_169,3465,Tetratricopeptide TPR_2 repeat protein,-,1694,3574400,+,-,-,-,-,-,-,-,-,-,-,-,"TPR_14,TPR_16,TPR_19,TPR_2,TPR_6,TPR_7,TPR_8"
Outer-membrane lipoprotein LolB,3466,Plays a critical role in the incorporation of lipoproteins in the outer membrane after they are released by the LolA protein,lolB,605,3576094,+,"GO:0003674,GO:0005488,GO:0005575,GO:0005623,GO:0006807,GO:0008104,GO:0008150,GO:0008152,GO:0008289,GO:0009279,GO:0010876,GO:0016020,GO:0019538,GO:0019867,GO:0030312,GO:0030313,GO:0031975,GO:0033036,GO:0033218,GO:0034613,GO:0042157,GO:0042277,GO:0043170,GO:0044238,GO:0044462,GO:0044464,GO:0044872,GO:0044873,GO:0044874,GO:0051179,GO:0051641,GO:0051668,GO:0070727,GO:0071704,GO:0071723,GO:0071944,GO:0072657,GO:1901564",-,ko:K02494,-,-,-,-,ko00000,-,-,-,LolB
hypothetical protein_468,3486,Protein of unknown function (DUF917),-,1238,3588560,+,-,-,ko:K09703,-,-,-,-,ko00000,-,-,-,DUF917
hypothetical protein_467,3487,Diguanylate cyclase,-,2645,3589771,+,-,-,-,-,-,-,-,-,-,-,-,GGDEF
Sensor histidine kinase RcsC_466,3488,Response regulator receiver,-,368,3593073,+,-,-,ko:K03413,"ko02020,ko02030,map02020,map02030",M00506,-,-,"ko00000,ko00001,ko00002,ko02022,ko02035",-,-,-,Response_reg
RNA polymerase-binding transcription factor DksA,3497,Prokaryotic dksA/traR C4-type zinc finger,-,398,3603922,+,-,-,-,-,-,-,-,-,-,-,-,zf-dskA_traR
